SCHCD,AC_YEAR,TCH_MALE,TCH_FEMALE,TCH_NR,HEADTCH,HTCHNAME,GRADABOVE,TCHWITHPROF,DAYSINVLD,TCHINVLD
29200903230,2016-17,0,0,0,0, ,0,0,0,0
29041108820,2016-17,0,0,0,0, ,0,0,0,0
29050316907,2016-17,0,0,0,0, ,0,0,0,0
29130204317,2016-17,0,0,0,0, ,0,0,0,0
29140518301,2016-17,0,0,0,0, ,0,0,0,0
29031400449,2016-17,0,0,0,0, ,0,0,0,0
29070218007,2016-17,0,0,0,0, ,0,0,0,0
29090602610,2016-17,0,0,0,0, ,0,0,0,0
29280201818,2016-17,0,0,0,0, ,0,0,0,0
29160103511,2016-17,0,0,0,0, ,0,0,0,0
29200420502,2016-17,0,0,0,0, ,0,0,0,0
29301403320,2016-17,0,0,0,0, ,0,0,0,0
29220707905,2016-17,0,0,0,0, ,0,0,0,0
29110611206,2016-17,0,0,0,0, ,0,0,0,0
29120901726,2016-17,0,0,0,0, ,0,0,0,0
29120900424,2016-17,0,0,0,0, ,0,0,0,0
29040309903,2016-17,0,0,0,0, ,0,0,0,0
29070913103,2016-17,0,0,0,0, ,0,0,0,0
29140516703,2016-17,0,0,0,0, ,0,0,0,0
29200313723,2016-17,0,0,0,0, ,0,0,0,0
29070208428,2016-17,0,0,0,0, ,0,0,0,0
29301004207,2016-17,0,0,0,0, ,0,0,0,0
29120114248,2016-17,0,0,0,0, ,0,0,0,0
29300907909,2016-17,0,0,0,0, ,0,0,0,0
29180219023,2016-17,0,0,0,0, ,0,0,0,0
29140516207,2016-17,0,0,0,0, ,0,0,0,0
29280721211,2016-17,0,0,0,0, ,0,0,0,0
29120901734,2016-17,0,0,0,0, ,0,0,0,0
29030306908,2016-17,0,0,0,0, ,0,0,0,0
29010806905,2016-17,0,0,0,0, ,0,0,0,0
29041107835,2016-17,0,0,0,0, ,0,0,0,0
29040620504,2016-17,0,0,0,0, ,0,0,0,0
29230440503,2016-17,0,0,0,0, ,0,0,0,0
29111406309,2016-17,0,0,0,0, ,0,0,0,0
29120800604,2016-17,0,0,0,0, ,0,0,0,0
29261027001,2016-17,0,0,0,0, ,0,0,0,0
29111414323,2016-17,0,0,0,0, ,0,0,0,0
29011213709,2016-17,0,0,0,0, ,0,0,0,0
29270218409,2016-17,0,0,0,0, ,0,0,0,0
29140208626,2016-17,0,0,0,0, ,0,0,0,0
29031301411,2016-17,0,0,0,0, ,0,0,0,0
29280205703,2016-17,0,0,0,0, ,0,0,0,0
29140702613,2016-17,0,0,0,0, ,0,0,0,0
29020907703,2016-17,0,0,0,0, ,0,0,0,0
29010817603,2016-17,0,0,0,0, ,0,0,0,0
29050506922,2016-17,0,0,0,0, ,0,0,0,0
29080606301,2016-17,0,0,0,0, ,0,0,0,0
29200319981,2016-17,0,0,0,0, ,0,0,0,0
29240600109,2016-17,0,0,0,0, ,0,0,0,0
29050221406,2016-17,0,0,0,0, ,0,0,0,0
29260917002,2016-17,0,0,0,0, ,0,0,0,0
29031017627,2016-17,0,0,0,0, ,0,0,0,0
29030510322,2016-17,0,0,0,0, ,0,0,0,0
29020206106,2016-17,0,0,0,0, ,0,0,0,0
29230335423,2016-17,0,0,0,0, ,0,0,0,0
29170619421,2016-17,0,0,0,0, ,0,0,0,0
29031012017,2016-17,0,0,0,0, ,0,0,0,0
29031012014,2016-17,0,0,0,0, ,0,0,0,0
29331002706,2016-17,0,0,0,0, ,0,0,0,0
29031206011,2016-17,0,0,0,0, ,0,0,0,0
29240609812,2016-17,0,0,0,0, ,0,0,0,0
29031204237,2016-17,0,0,0,0, ,0,0,0,0
29050316815,2016-17,0,0,0,0, ,0,0,0,0
29040513703,2016-17,0,0,0,0, ,0,0,0,0
29090603738,2016-17,0,0,0,0, ,0,0,0,0
29090700211,2016-17,0,0,0,0, ,0,0,0,0
29031209704,2016-17,0,0,0,0, ,0,0,0,0
29050415413,2016-17,0,0,0,0, ,0,0,0,0
29301000116,2016-17,0,0,0,0, ,0,0,0,0
29031215402,2016-17,0,0,0,0, ,0,0,0,0
29031013603,2016-17,0,0,0,0, ,0,0,0,0
29301007204,2016-17,0,0,0,0, ,0,0,0,0
29200410410,2016-17,0,0,0,0, ,0,0,0,0
29060500606,2016-17,0,0,0,0, ,0,0,0,0
29020904911,2016-17,0,0,0,0, ,0,0,0,0
29280232403,2016-17,0,0,0,0, ,0,0,0,0
29120509609,2016-17,0,0,0,0, ,0,0,0,0
29130117610,2016-17,0,0,0,0, ,0,0,0,0
29140710107,2016-17,0,0,0,0, ,0,0,0,0
29301001329,2016-17,0,0,0,0, ,0,0,0,0
29090701330,2016-17,0,0,0,0, ,0,0,0,0
29020608023,2016-17,0,0,0,0, ,0,0,0,0
29280707230,2016-17,0,0,0,0, ,0,0,0,0
29050417520,2016-17,0,0,0,0, ,0,0,0,0
29220305708,2016-17,0,0,0,0, ,0,0,0,0
